month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2025-03-01,A DIVISION,7,2,3315,3448,0.961426914
2025-03-01,A DIVISION,S 42nd,1,11004,11018,0.998729352
2025-03-01,A DIVISION,S 42nd,2,3818,3824,0.998430962
2025-03-01,B DIVISION,A,1,6761,7875,0.858539683
2025-03-01,B DIVISION,A,2,2295,2797,0.820521988
2025-03-01,B DIVISION,B,1,3372,4514,0.747009304
2025-03-01,B DIVISION,C,1,3483,4662,0.747104247
2025-03-01,B DIVISION,C,2,1060,1560,0.679487179
2025-03-01,B DIVISION,D,1,5186,6390,0.811580595
2025-03-01,B DIVISION,D,2,2343,2583,0.907084785
2025-03-01,B DIVISION,E,1,6489,8470,0.766115702
2025-03-01,B DIVISION,E,2,1792,2094,0.855778415
2025-03-01,B DIVISION,F,1,5981,8160,0.732965686
2025-03-01,B DIVISION,F,2,1438,2074,0.693346191
2025-03-01,B DIVISION,G,1,5346,6529,0.818808393
2025-03-01,B DIVISION,G,2,2079,2570,0.808949416
2025-03-01,B DIVISION,JZ,1,5549,6259,0.886563349
2025-03-01,B DIVISION,JZ,2,2172,2424,0.896039604
2025-03-01,B DIVISION,L,1,10659,11458,0.930267062
2025-03-01,B DIVISION,L,2,4555,4714,0.966270683
2025-03-01,B DIVISION,M,1,5126,6098,0.840603477
2025-03-01,B DIVISION,M,2,1486,1518,0.978919631
2025-03-01,B DIVISION,N,1,8448,10390,0.813089509
2025-03-01,B DIVISION,N,2,2024,2526,0.801266825
2025-03-01,B DIVISION,Q,1,5437,6611,0.822417183
2025-03-01,B DIVISION,Q,2,2351,2606,0.902148887
2025-03-01,B DIVISION,R,1,5051,6231,0.810624298
2025-03-01,B DIVISION,R,2,1957,2154,0.908542247
2025-03-01,B DIVISION,S Fkln,1,4975,4998,0.995398159
2025-03-01,B DIVISION,S Fkln,2,2241,2252,0.995115453
2025-03-01,B DIVISION,S Rock,1,3576,3654,0.97865353
2025-03-01,B DIVISION,S Rock,2,1710,1734,0.98615917
2025-04-01,A DIVISION,1,1,8655,10316,0.83898798
2025-04-01,A DIVISION,1,2,2359,2528,0.933148734
2025-04-01,A DIVISION,2,1,5060,7184,0.704342984
2025-04-01,A DIVISION,2,2,1276,1892,0.674418605
2025-04-01,A DIVISION,3,1,5297,6237,0.849286516
2025-04-01,A DIVISION,3,2,1424,1799,0.791550862
2025-04-01,A DIVISION,4,1,6784,8134,0.834029998
2025-04-01,A DIVISION,4,2,1497,2136,0.700842697
2025-04-01,A DIVISION,5,1,5604,7126,0.786415942
2025-04-01,A DIVISION,5,2,1328,1595,0.832601881
2025-04-01,A DIVISION,6,1,11281,13139,0.858588934
