index,lines,time,stop1,stop2,stop 1 count,stop 2 count
"('R09', 'R11')",W,286.0,Queensboro Plaza,Lexington Av/59 St,2,1
"('A32', 'A33')",E,120.0,W 4 St-Wash Sq,Spring St,3,2
"('A32', 'A33')",C,120.0,W 4 St-Wash Sq,Spring St,3,2
"('R08', 'R09')",N,150.0,39 Av-Dutch Kills,Queensboro Plaza,1,2
"('R08', 'R09')",W,150.0,39 Av-Dutch Kills,Queensboro Plaza,1,2
"('A33', 'A34')",E,90.0,Spring St,Canal St,2,5
"('A33', 'A34')",C,90.0,Spring St,Canal St,2,5
"('A34', 'A36')",A,90.0,Canal St,Chambers St,5,3
"('A34', 'A36')",C,90.0,Canal St,Chambers St,5,3
"('A36', 'A38')",A,120.0,Chambers St,Fulton St,3,3
"('A36', 'A38')",C,120.0,Chambers St,Fulton St,3,3
"('A38', 'A40')",A,188.42696629213484,Fulton St,High St,5,1
"('A38', 'A40')",C,188.42696629213484,Fulton St,High St,5,1
"('A40', 'A41')",A,120.0,High St,Jay St-MetroTech,1,1
"('A40', 'A41')",C,120.0,High St,Jay St-MetroTech,1,1
"('A41', 'A42')",A,90.0,Jay St-MetroTech,Hoyt-Schermerhorn Sts,1,1
"('A41', 'A42')",C,90.0,Jay St-MetroTech,Hoyt-Schermerhorn Sts,1,1
"('A42', 'A46')",A,300.0,Hoyt-Schermerhorn Sts,Nostrand Av,1,1
"('A42', 'A46')",C,300.0,Hoyt-Schermerhorn Sts,Nostrand Av,1,1
"('A46', 'A48')",A,151.1764705882353,Nostrand Av,Utica Av,1,1
"('A46', 'A48')",C,151.1764705882353,Nostrand Av,Utica Av,1,1
"('A30', 'A31')",E,90.0,23 St,14 St,4,4
"('A30', 'A31')",C,90.0,23 St,14 St,4,4
"('M18', 'M19')",Z,118.69565217391305,Delancey St-Essex St,Bowery,1,1
"('M18', 'M19')",J,118.69565217391305,Delancey St-Essex St,Bowery,1,1
"('D35', 'D39')",B,240.0,Kings Hwy,Sheepshead Bay,1,1
"('D35', 'D39')",Q,240.0,Kings Hwy,Sheepshead Bay,1,1
"('D42', 'D43')",Q,90.0,W 8 St-NY Aquarium,Coney Island-Stillwell Av,1,1
"('D42', 'D43')",F,90.0,W 8 St-NY Aquarium,Coney Island-Stillwell Av,1,1
"('G18', 'G19')",M,120.0,46 St,Steinway St,1,1
"('G18', 'G19')",R,120.0,46 St,Steinway St,1,1
"('G19', 'G20')",M,120.0,Steinway St,36 St,1,2
"('G19', 'G20')",R,120.0,Steinway St,36 St,1,2
"('G20', 'G21')",M,120.0,36 St,Queens Plaza,2,3
"('G20', 'G21')",R,120.0,36 St,Queens Plaza,2,3
