Month,Division,Line,Day Type,Number Late,Scheduled Trips,Percent Late
2025-03-01,Subdivision B,B,1,228,4514,0.050509526
2025-03-01,Subdivision B,C,1,293,4662,0.062848563
2025-03-01,Subdivision B,C,2,128,1560,0.082051282
2025-03-01,Subdivision B,D,1,218,6390,0.034115806
2025-03-01,Subdivision B,D,2,102,2583,0.039488966
2025-03-01,Subdivision B,E,1,237,8470,0.02798111
2025-03-01,Subdivision B,E,2,60,2094,0.028653295
2025-03-01,Subdivision B,F,1,376,8160,0.046078431
2025-03-01,Subdivision B,F,2,98,2074,0.047251688
2025-03-01,Subdivision B,G,1,662,6529,0.101393782
2025-03-01,Subdivision B,G,2,194,2570,0.075486381
2025-03-01,Subdivision B,JZ,1,0,6259,0
2025-03-01,Subdivision B,JZ,2,0,2424,0
2025-03-01,Subdivision B,L,1,445,11458,0.038837493
2025-03-01,Subdivision B,L,2,74,4714,0.015697921
2025-03-01,Subdivision B,M,1,217,6098,0.035585438
2025-03-01,Subdivision B,M,2,12,1518,0.007905138
2025-03-01,Subdivision B,NW,1,0,10390,0
2025-03-01,Subdivision B,NW,2,0,2526,0
2025-03-01,Subdivision B,Q,1,449,6611,0.067917108
2025-03-01,Subdivision B,Q,2,138,2606,0.05295472
2025-03-01,Subdivision B,R,1,278,6231,0.044615632
2025-03-01,Subdivision B,R,2,52,2154,0.024141133
2025-03-01,Subdivision B,S 42nd,1,0,11018,0
2025-03-01,Subdivision B,S 42nd,2,0,3824,0
2025-03-01,Subdivision B,S Fkln,1,0,4998,0
2025-03-01,Subdivision B,S Fkln,2,0,2252,0
2025-03-01,Subdivision B,S Rock,1,0,3654,0
2025-03-01,Subdivision B,S Rock,2,0,1734,0
2025-03-01,Subdivision B,SI,1,0,3564,0
2025-03-01,Subdivision B,SI,2,0,706,0
2025-04-01,Subdivision A,1,1,423,10316,0.041004265
2025-04-01,Subdivision A,1,2,39,2528,0.015427215
2025-04-01,Subdivision A,2,1,345,7184,0.048023385
2025-04-01,Subdivision A,2,2,109,1892,0.057610994
2025-04-01,Subdivision A,3,1,225,6237,0.036075036
2025-04-01,Subdivision A,3,2,116,1799,0.064480267
2025-04-01,Subdivision A,4,1,255,8134,0.031349889
2025-04-01,Subdivision A,4,2,160,2136,0.074906367
2025-04-01,Subdivision A,5,1,228,7126,0.031995509
2025-04-01,Subdivision A,5,2,73,1595,0.045768025
2025-04-01,Subdivision A,6,1,506,13139,0.038511302
2025-04-01,Subdivision A,6,2,153,3176,0.048173804
2025-04-01,Subdivision A,7,1,497,14150,0.035123675
2025-04-01,Subdivision A,7,2,205,3248,0.063115764
2025-04-01,Subdivision B,A,1,226,8250,0.027393939
2025-04-01,Subdivision B,A,2,88,2244,0.039215686
2025-04-01,Subdivision B,B,1,247,4796,0.051501251
2025-04-01,Subdivision B,C,1,290,4884,0.059377559
2025-04-01,Subdivision B,C,2,84,1248,0.067307692
2025-04-01,Subdivision B,D,2,80,1728,0.046296296
2025-04-01,Subdivision B,D,1,252,6512,0.038697789
2025-04-01,Subdivision B,E,2,35,1680,0.020833333
2025-04-01,Subdivision B,E,1,328,8625,0.038028986
2025-04-01,Subdivision B,F,1,415,8360,0.049641148
2025-04-01,Subdivision B,F,2,71,1672,0.042464115
2025-04-01,Subdivision B,G,2,96,2356,0.040747029
2025-04-01,Subdivision B,G,1,691,6843,0.100979103
2025-04-01,Subdivision B,JZ,2,0,1860,0
2025-04-01,Subdivision B,JZ,1,0,6540,0
2025-04-01,Subdivision B,L,1,565,12012,0.047036297
2025-04-01,Subdivision B,L,2,72,3084,0.023346304
2025-04-01,Subdivision B,M,1,230,6424,0.035803238
2025-04-01,Subdivision B,M,2,8,2014,0.003972195
2025-04-01,Subdivision B,NW,2,0,1728,0
2025-04-01,Subdivision B,NW,1,0,10099,0
2025-04-01,Subdivision B,Q,1,572,6901,0.082886538
2025-04-01,Subdivision B,Q,2,107,2580,0.041472868
2025-04-01,Subdivision B,R,2,83,1728,0.048032407
2025-04-01,Subdivision B,R,1,265,6579,0.040279678
2025-04-01,Subdivision B,S 42nd,2,0,2728,0
2025-04-01,Subdivision B,S 42nd,1,0,11526,0
2025-04-01,Subdivision B,S Fkln,1,0,5232,0
2025-04-01,Subdivision B,S Fkln,2,0,1904,0
2025-04-01,Subdivision B,S Rock,1,0,3828,0
2025-04-01,Subdivision B,S Rock,2,0,1392,0
2025-04-01,Subdivision B,SI,1,0,3734,0
2025-04-01,Subdivision B,SI,2,0,706,0
2025-05-01,Subdivision A,1,2,56,3636,0.01540154
2025-05-01,Subdivision A,1,1,383,9714,0.03942763
2025-05-01,Subdivision A,2,2,133,2592,0.051311728
2025-05-01,Subdivision A,2,1,352,7091,0.049640389
2025-05-01,Subdivision A,3,2,89,2071,0.042974408
2025-05-01,Subdivision A,3,1,168,5970,0.028140704
2025-05-01,Subdivision A,4,2,133,2670,0.049812734
2025-05-01,Subdivision A,4,1,198,7772,0.025476068
2025-05-01,Subdivision A,5,2,43,2355,0.018259023
2025-05-01,Subdivision A,5,1,214,6722,0.031835763
2025-05-01,Subdivision A,6,2,162,3160,0.051265823
